time,Master4Paths4.timeDiff_Std.ScaledTimeDiff:vector
2.44,1.50836e-06
2.45,1.57661e-06
2.46,1.58011e-06
2.47,1.56842e-06
2.48,1.53727e-06
2.49,1.58892e-06
2.5,1.66468e-06
2.51,1.76693e-06
2.52,1.78723e-06
2.53,1.76904e-06
2.54,1.7044e-06
2.55,1.66061e-06
2.56,1.62755e-06
2.57,1.5567e-06
2.58,1.4786e-06
2.59,1.39305e-06
2.6,1.30749e-06
2.61,1.22436e-06
2.62,1.1454e-06
2.63,1.08722e-06
2.64,1.04166e-06
2.65,1.0197e-06
2.66,9.67291e-07
2.67,9.0635e-07
2.68,8.8818e-07
2.69,8.72342e-07
2.7,8.58372e-07
2.71,8.44403e-07
2.72,8.28403e-07
2.73,8.09733e-07
2.74,7.91064e-07
2.75,7.83928e-07
2.76,8.02848e-07
2.77,8.53308e-07
2.78,9.1463e-07
2.79,9.7596e-07
2.8,1.05141e-06
2.81,1.13554e-06
2.82,1.21968e-06
2.83,1.29884e-06
2.84,1.37288e-06
