time,Master4Paths4.timeDiff_Std.ScaledTimeDiff:vector
3.68,1.29577e-06
3.69,1.23366e-06
3.7,1.15281e-06
3.71,1.03756e-06
3.72,9.3205e-07
3.73,8.3959e-07
3.74,8.01389e-07
3.75,7.71229e-07
3.76,7.41069e-07
3.77,6.79799e-07
3.78,6.17599e-07
3.79,5.99039e-07
3.8,5.87726e-07
3.81,5.7799e-07
3.82,5.1932e-07
3.83,4.65405e-07
3.84,4.16335e-07
3.85,4.28383e-07
3.86,4.36701e-07
3.87,4.31031e-07
3.88,4.25361e-07
3.89,4.26752e-07
3.9,4.49872e-07
3.91,4.749e-07
3.92,4.97331e-07
3.93,4.94161e-07
3.94,5.05698e-07
3.95,5.28918e-07
3.96,5.52139e-07
3.97,5.66842e-07
3.98,5.70362e-07
3.99,5.33044e-07
4,5.03033e-07
4.01,5.03353e-07
4.02,4.71239e-07
4.03,4.27969e-07
4.04,3.84699e-07
4.05,3.53704e-07
4.06,3.30234e-07
4.07,3.06764e-07
4.08,2.82199e-07
4.09,2.56519e-07
4.1,2.63282e-07
4.11,2.67512e-07
4.12,2.63432e-07
4.13,2.52816e-07
4.14,2.40833e-07
4.15,2.29453e-07
4.16,2.17596e-07
4.17,2.05517e-07
4.18,1.93437e-07
4.19,1.82749e-07
4.2,1.73169e-07
4.21,1.6359e-07
4.22,1.54531e-07
4.23,1.46151e-07
4.24,2.8552e-08
4.25,-1.13068e-07
4.26,-2.72058e-07
4.27,-4.31055e-07
4.28,-5.63729e-07
4.29,-5.79129e-07
4.3,-5.78159e-07
4.31,-5.64418e-07
4.32,-5.04928e-07
4.33,-4.14954e-07
4.34,-2.93854e-07
4.35,-1.1321e-07
4.36,5.7444e-08
4.37,2.03654e-07
4.38,3.48096e-07
4.39,4.85616e-07
4.4,6.03046e-07
4.41,6.50538e-07
4.42,6.55567e-07
4.43,5.88497e-07
4.44,5.21427e-07
4.45,4.54357e-07
4.46,3.06919e-07
4.47,1.94772e-07
4.48,1.29592e-07
4.49,1.30159e-07
4.5,1.54585e-07
4.51,2.10795e-07
4.52,2.67013e-07
4.53,3.23233e-07
4.54,3.79453e-07
4.55,4.66113e-07
4.56,5.62301e-07
4.57,5.04631e-07
4.58,4.41366e-07
4.59,3.72396e-07
4.6,1.00883e-07
4.61,-1.44053e-07
4.62,-3.18843e-07
4.63,-4.9364e-07
4.64,-6.22212e-07
4.65,-6.08122e-07
4.66,-6.09183e-07
4.67,-6.15455e-07
4.68,-6.08265e-07
4.69,-5.91278e-07
4.7,-5.66488e-07
4.71,-5.61085e-07
4.72,-5.56485e-07
4.73,-5.52795e-07
4.74,-5.14725e-07
4.75,-4.71534e-07
4.76,-4.28344e-07
4.77,-4.65406e-07
4.78,-5.25597e-07
4.79,-5.65597e-07
4.8,-6.04111e-07
4.81,-6.4154e-07
4.82,-6.7615e-07
4.83,-6.55889e-07
4.84,-5.79799e-07
4.85,-4.90094e-07
4.86,-4.04801e-07
4.87,-3.28701e-07
4.88,-1.35723e-07
4.89,8.7878e-08
4.9,3.19798e-07
4.91,4.96825e-07
4.92,6.26125e-07
4.93,5.92565e-07
4.94,5.81093e-07
4.95,5.87123e-07
4.96,5.41646e-07
4.97,4.95876e-07
4.98,4.50106e-07
4.99,4.04337e-07
5,3.59242e-07
5.01,3.15672e-07
5.02,2.34487e-07
5.03,1.42011e-07
5.04,5.6731e-08
5.05,-2.1184e-08
5.06,-9.0759e-08
5.07,-9.5249e-08
5.08,-9.365e-08
5.09,-8.585e-08
5.1,-7.8049e-08
5.11,-6.7403e-08
5.12,-5.1893e-08
5.13,-7.9144e-08
5.14,-1.16633e-07
5.15,-1.54123e-07
5.16,-1.82265e-07
5.17,-1.882e-07
5.18,-6.319e-08
5.19,6.0652e-08
5.2,1.83562e-07
5.21,3.06483e-07
5.22,4.2014e-07
5.23,5.2166e-07
5.24,5.31124e-07
5.25,5.21362e-07
5.26,4.99192e-07
5.27,4.77023e-07
5.28,4.53186e-07
5.29,4.21916e-07
5.3,4.05411e-07
5.31,3.98195e-07
5.32,3.95125e-07
5.33,3.92056e-07
5.34,3.88986e-07
5.35,3.61664e-07
5.36,3.33406e-07
5.37,3.06536e-07
5.38,2.79667e-07
5.39,2.60417e-07
5.4,2.64737e-07
5.41,2.70765e-07
5.42,2.85126e-07
5.43,3.54846e-07
5.44,4.24567e-07
5.45,4.94287e-07
5.46,5.66505e-07
5.47,6.26105e-07
5.48,6.69135e-07
5.49,7.03736e-07
5.5,7.23314e-07
5.51,7.11754e-07
5.52,6.89688e-07
5.53,6.64029e-07
5.54,6.38369e-07
5.55,5.74177e-07
5.56,4.88647e-07
5.57,4.41877e-07
5.58,4.18274e-07
5.59,4.18294e-07
5.6,4.6616e-07
5.61,5.07241e-07
5.62,5.30861e-07
5.63,5.73523e-07
5.64,6.20753e-07
5.65,6.67983e-07
5.66,6.83143e-07
5.67,6.83447e-07
5.68,6.84277e-07
5.69,6.58563e-07
5.7,6.11703e-07
5.71,6.84283e-07
5.72,7.55766e-07
5.73,8.25096e-07
5.74,9.6256e-07
5.75,1.07914e-06
5.76,1.12568e-06
5.77,1.17223e-06
5.78,1.19827e-06
5.79,1.13312e-06
5.8,1.06109e-06
5.81,9.82906e-07
5.82,8.72446e-07
5.83,7.61987e-07
5.84,6.51527e-07
5.85,5.01542e-07
5.86,3.73877e-07
5.87,2.89107e-07
5.88,2.25472e-07
5.89,1.70646e-07
5.9,1.27366e-07
5.91,1.01206e-07
5.92,8.462e-08
5.93,7.964e-08
5.94,7.4382e-08
5.95,6.8902e-08
5.96,5.4866e-08
5.97,4.6799e-08
5.98,4.6619e-08
5.99,4.8256e-08
6,5.1607e-08
6.01,5.8217e-08
6.02,9.9963e-08
6.03,1.54102e-07
6.04,2.09712e-07
6.05,2.65328e-07
6.06,3.20604e-07
6.07,3.70124e-07
6.08,3.86607e-07
6.09,3.69337e-07
6.1,3.43584e-07
6.11,3.11701e-07
6.12,2.70431e-07
6.13,2.29153e-07
6.14,2.12507e-07
6.15,2.71727e-07
6.16,3.37436e-07
6.17,4.1021e-07
6.18,5.1293e-07
6.19,6.15656e-07
6.2,7.18386e-07
6.21,6.3516e-07
6.22,5.31001e-07
6.23,4.00531e-07
6.24,2.71705e-07
6.25,1.43126e-07
6.26,1.4546e-08
6.27,-3.6319e-08
6.28,-5.7041e-08
6.29,-6.1331e-08
6.3,-5.861e-08
6.31,-5.16e-08
6.32,-4.459e-08
6.33,-3.3871e-08
6.34,-1.9361e-08
6.35,-3.266e-09
6.36,1.3648e-08
6.37,3.1758e-08
6.38,4.7206e-08
6.39,6.5518e-08
6.4,9.4628e-08
6.41,1.23125e-07
6.42,1.53066e-07
6.43,1.95676e-07
6.44,2.27207e-07
6.45,2.49917e-07
6.46,2.63884e-07
6.47,2.66708e-07
6.48,2.54938e-07
6.49,2.38813e-07
6.5,2.07534e-07
6.51,1.43554e-07
6.52,1.14776e-07
6.53,8.3392e-08
6.54,-1.3488e-08
6.55,-2.4312e-07
6.56,-5.63491e-07
6.57,-1.04001e-06
6.58,-1.39605e-06
6.59,-1.62849e-06
6.6,-1.84938e-06
6.61,-2.02101e-06
6.62,-2.10996e-06
6.63,-2.16954e-06
6.64,-2.15638e-06
6.65,-1.94133e-06
6.66,-1.71276e-06
6.67,-1.47325e-06
6.68,-1.19968e-06
6.69,-1.02113e-06
6.7,-9.18549e-07
6.71,-7.13492e-07
6.72,-5.26792e-07
6.73,-3.64892e-07
6.74,-2.45879e-07
6.75,-1.64861e-07
6.76,-1.55261e-07
6.77,-1.11576e-07
6.78,-5.6174e-08
6.79,-7.64e-10
6.8,3.674e-08
6.81,6.2492e-08
6.82,7.5402e-08
6.83,8.8312e-08
6.84,1.01222e-07
6.85,1.07794e-07
6.86,1.13315e-07
6.87,1.17825e-07
6.88,1.23867e-07
6.89,1.29323e-07
6.9,1.31833e-07
6.91,1.437e-07
6.92,1.59801e-07
6.93,1.75111e-07
6.94,1.8775e-07
6.95,1.9826e-07
6.96,4.07388e-07
6.97,6.11673e-07
6.98,8.08403e-07
6.99,7.66046e-07
7,6.68857e-07
7.01,5.28887e-07
7.02,4.68862e-07
7.03,4.2649e-07
7.04,3.4052e-07
7.05,2.89362e-07
7.06,2.59348e-07
7.07,2.26868e-07
7.08,1.88652e-07
7.09,1.44572e-07
7.1,2.6008e-08
7.11,-6.8637e-08
7.12,-1.13227e-07
7.13,-2.06698e-07
7.14,-2.79237e-07
7.15,-2.51237e-07
7.16,-2.23237e-07
7.17,-1.8971e-07
7.18,-1.1541e-07
7.19,-6.8962e-08
7.2,-4.4752e-08
7.21,-2.4721e-08
7.22,-4.71e-09
7.23,1.53e-08
7.24,3.531e-08
7.25,5.9921e-08
7.26,9.4931e-08
7.27,1.76231e-07
7.28,2.72125e-07
7.29,3.62545e-07
7.3,4.04547e-07
7.31,4.16868e-07
7.32,4.29188e-07
7.33,4.637e-07
7.34,5.2082e-07
7.35,5.01345e-07
7.36,5.05525e-07
7.37,5.59455e-07
7.38,6.92e-07
7.39,8.43432e-07
7.4,9.94872e-07
7.41,1.11086e-06
7.42,1.22334e-06
7.43,1.4308e-06
7.44,1.57389e-06
7.45,1.66575e-06
7.46,1.64011e-06
7.47,1.60212e-06
7.48,1.54869e-06
7.49,1.39376e-06
7.5,1.22372e-06
7.51,1.05367e-06
7.52,8.96268e-07
7.53,7.57071e-07
7.54,6.80511e-07
7.55,6.37807e-07
7.56,6.17129e-07
7.57,6.17859e-07
7.58,5.97274e-07
7.59,5.54904e-07
7.6,5.28383e-07
7.61,4.99385e-07
7.62,4.64215e-07
7.63,4.33319e-07
7.64,4.07814e-07
7.65,3.95744e-07
7.66,3.71542e-07
7.67,3.45299e-07
7.68,3.45519e-07
7.69,3.46073e-07
7.7,3.46893e-07
7.71,3.51395e-07
7.72,3.44998e-07
7.73,3.24328e-07
7.74,3.04528e-07
7.75,2.84859e-07
7.76,2.65189e-07
7.77,2.45214e-07
7.78,2.25465e-07
7.79,2.07185e-07
7.8,1.88905e-07
7.81,1.70007e-07
7.82,1.40727e-07
7.83,1.11645e-07
7.84,8.2765e-08
