time,Master1Paths4.timeDiff_Std.ScaledTimeDiff:vector
34.86,-1.61262e-07
34.87,-3.7037e-08
34.88,7.3355e-08
34.89,1.64235e-07
34.9,2.27562e-07
34.91,3.03777e-07
34.92,4.24667e-07
34.93,5.0036e-07
34.94,5.45538e-07
34.95,5.22138e-07
34.96,4.57976e-07
34.97,3.65465e-07
34.98,2.40755e-07
34.99,3.8729e-08
35,-2.49491e-07
35.01,-5.04929e-07
35.02,-6.89423e-07
35.03,-7.47263e-07
35.04,-7.67872e-07
35.05,-7.73436e-07
35.06,-7.62086e-07
35.07,-7.50736e-07
35.08,-7.31825e-07
35.09,-6.44365e-07
35.1,-6.53878e-07
35.11,-7.47418e-07
35.12,-8.20799e-07
35.13,-8.78701e-07
35.14,-9.15241e-07
35.15,-8.20305e-07
35.16,-7.03364e-07
35.17,-5.90204e-07
35.18,-4.47211e-07
35.19,-2.91971e-07
35.2,-1.32201e-07
35.21,6.3347e-08
35.22,2.82184e-07
35.23,4.84074e-07
35.24,7.05959e-07
35.25,9.50069e-07
35.26,1.07599e-06
35.27,1.17349e-06
35.28,1.23911e-06
35.29,1.19647e-06
35.3,1.14958e-06
35.31,1.19009e-06
35.32,1.23061e-06
35.33,1.26472e-06
35.34,1.24026e-06
35.35,1.20072e-06
35.36,1.14814e-06
35.37,1.14647e-06
35.38,1.07865e-06
35.39,9.13861e-07
35.4,7.49072e-07
35.41,5.89309e-07
35.42,4.42109e-07
35.43,2.13706e-07
35.44,-3.1524e-08
35.45,-2.03144e-07
35.46,-3.7842e-07
35.47,-5.56151e-07
35.48,-7.33891e-07
35.49,-8.57e-07
35.5,-9.1944e-07
35.51,-7.9864e-07
35.52,-6.70751e-07
35.53,-5.62991e-07
35.54,-4.55231e-07
35.55,-3.47468e-07
35.56,-2.39698e-07
35.57,-1.97207e-07
35.58,-2.01657e-07
35.59,-3.28787e-07
35.6,-5.00791e-07
35.61,-7.11531e-07
35.62,-8.38419e-07
35.63,-9.63062e-07
35.64,-1.08771e-06
35.65,-1.08307e-06
35.66,-1.01593e-06
35.67,-8.50276e-07
35.68,-6.56972e-07
35.69,-4.5311e-07
35.7,-2.4924e-07
35.71,-4.3926e-08
35.72,1.61272e-07
35.73,3.37762e-07
35.74,4.768e-07
35.75,5.7419e-07
35.76,5.79125e-07
35.77,5.83479e-07
35.78,6.03779e-07
35.79,5.64232e-07
35.8,5.07988e-07
35.81,4.50188e-07
35.82,3.92984e-07
35.83,3.43681e-07
35.84,3.64271e-07
35.85,3.83575e-07
35.86,4.01765e-07
35.87,4.19956e-07
35.88,4.84548e-07
35.89,6.15748e-07
35.9,6.90018e-07
35.91,7.24243e-07
35.92,6.84453e-07
35.93,6.07643e-07
35.94,5.14541e-07
35.95,4.09941e-07
35.96,3.05335e-07
35.97,2.0151e-07
35.98,1.189e-07
35.99,7.658e-09
36,-1.35462e-07
36.01,-2.82235e-07
36.02,-4.1764e-07
36.03,-5.3117e-07
36.04,-6.44708e-07
36.05,-7.48015e-07
36.06,-8.15855e-07
36.07,-8.11193e-07
36.08,-7.55179e-07
36.09,-5.69419e-07
36.1,-3.35298e-07
36.11,-5.9428e-08
36.12,2.39033e-07
36.13,5.38128e-07
36.14,8.37228e-07
36.15,9.58377e-07
36.16,1.00653e-06
36.17,9.52046e-07
36.18,8.24787e-07
36.19,6.66674e-07
36.2,4.92774e-07
36.21,3.39239e-07
36.22,2.00646e-07
36.23,9.6736e-08
36.24,8.918e-09
36.25,-6.1002e-08
36.26,-1.48128e-07
36.27,-2.01875e-07
36.28,-1.89905e-07
36.29,-1.47733e-07
36.3,-1.17554e-07
36.31,-1.57774e-07
36.32,-2.02085e-07
36.33,-2.36706e-07
36.34,-1.63436e-07
36.35,-1.08913e-07
36.36,-7.0643e-08
36.37,-1.2602e-08
36.38,4.5978e-08
36.39,1.04558e-07
36.4,1.23933e-07
36.41,1.31025e-07
36.42,1.24915e-07
36.43,1.28146e-07
36.44,1.34541e-07
36.45,1.38921e-07
36.46,1.57794e-07
36.47,1.88446e-07
36.48,2.74036e-07
36.49,3.59627e-07
36.5,4.45217e-07
36.51,4.6671e-07
36.52,4.21648e-07
36.53,2.63838e-07
36.54,6.0563e-08
36.55,-1.77961e-07
36.56,-4.95791e-07
36.57,-7.83566e-07
36.58,-1.03444e-06
36.59,-1.08949e-06
36.6,-1.03801e-06
36.61,-8.94362e-07
36.62,-7.73484e-07
36.63,-6.53229e-07
36.64,-5.32969e-07
36.65,-4.95744e-07
36.66,-4.89663e-07
36.67,-5.24293e-07
36.68,-5.58922e-07
36.69,-5.84457e-07
36.7,-5.62797e-07
36.71,-5.11104e-07
36.72,-4.37461e-07
36.73,-3.15391e-07
36.74,-1.77839e-07
36.75,-2.3059e-08
36.76,1.31722e-07
36.77,2.94198e-07
36.78,4.71088e-07
36.79,6.89184e-07
36.8,8.62947e-07
36.81,8.43457e-07
36.82,8.01523e-07
36.83,7.61472e-07
36.84,8.44372e-07
36.85,8.87157e-07
36.86,8.95157e-07
36.87,7.39481e-07
36.88,6.48551e-07
36.89,6.56551e-07
36.9,5.37971e-07
36.91,3.58319e-07
36.92,8.2709e-08
36.93,-1.56368e-07
36.94,-3.73808e-07
36.95,-5.51438e-07
36.96,-8.37528e-07
36.97,-1.1903e-06
36.98,-1.38476e-06
36.99,-1.45449e-06
37,-1.38626e-06
37.01,-1.15806e-06
37.02,-8.55615e-07
37.03,-4.43455e-07
37.04,-3.1271e-08
37.05,3.48444e-07
37.06,6.15544e-07
37.07,7.05897e-07
37.08,6.98152e-07
37.09,6.23052e-07
37.1,5.29512e-07
37.11,4.20012e-07
37.12,3.52696e-07
37.13,2.96151e-07
37.14,2.53441e-07
37.15,2.47675e-07
37.16,2.4474e-07
37.17,2.3253e-07
37.18,2.2032e-07
37.19,2.06496e-07
37.2,1.84286e-07
37.21,1.43868e-07
37.22,9.0232e-08
37.23,9.512e-09
37.24,-7.1208e-08
37.25,-1.51928e-07
37.26,-2.3383e-07
37.27,-3.16586e-07
37.28,-4.00716e-07
37.29,-4.84845e-07
37.3,-5.54994e-07
37.31,-5.76624e-07
37.32,-5.62263e-07
37.33,-5.18487e-07
37.34,-3.74417e-07
37.35,-1.81743e-07
37.36,5.3037e-08
37.37,2.87827e-07
37.38,4.95475e-07
37.39,6.64175e-07
37.4,7.71923e-07
37.41,8.61905e-07
37.42,9.34615e-07
37.43,9.7204e-07
37.44,1.00172e-06
37.45,1.06123e-06
37.46,1.12074e-06
37.47,1.17832e-06
37.48,1.18433e-06
37.49,1.14947e-06
37.5,1.06909e-06
37.51,9.5094e-07
37.52,7.99472e-07
37.53,5.92372e-07
37.54,3.85265e-07
37.55,1.81595e-07
37.56,-1.0125e-08
37.57,-2.14603e-07
37.58,-4.13811e-07
37.59,-5.04641e-07
37.6,-5.59649e-07
37.61,-5.83679e-07
37.62,-5.36237e-07
37.63,-4.6149e-07
37.64,-3.5022e-07
37.65,-2.05192e-07
37.66,-3.5487e-08
37.67,1.80593e-07
37.68,3.70796e-07
37.69,5.37493e-07
37.7,6.33493e-07
37.71,7.01501e-07
37.72,7.47219e-07
37.73,6.98529e-07
37.74,6.32288e-07
37.75,5.46588e-07
37.76,4.60889e-07
37.77,3.75186e-07
37.78,2.89476e-07
37.79,2.21297e-07
37.8,1.88897e-07
37.81,2.64587e-07
37.82,3.79354e-07
37.83,5.14146e-07
37.84,6.48946e-07
37.85,7.82195e-07
37.86,9.14105e-07
37.87,1.01995e-06
37.88,1.07074e-06
37.89,1.04376e-06
37.9,9.88962e-07
37.91,9.27317e-07
37.92,8.61027e-07
37.93,7.68334e-07
37.94,6.7484e-07
37.95,6.2965e-07
37.96,6.08935e-07
37.97,6.03335e-07
37.98,5.62535e-07
37.99,5.31957e-07
38,5.12757e-07
38.01,4.12476e-07
38.02,3.04551e-07
38.03,1.97141e-07
38.04,8.9732e-08
38.05,1.3211e-08
38.06,4.3891e-08
38.07,6.4594e-08
38.08,8.0175e-08
38.09,9.5755e-08
38.1,1.16582e-07
38.11,1.41962e-07
38.12,1.51087e-07
38.13,1.43747e-07
38.14,1.13437e-07
38.15,4.2584e-08
38.16,-2.363e-09
38.17,3.5217e-08
38.18,1.66e-10
38.19,-7.827e-08
38.2,-2.3749e-07
38.21,-3.38306e-07
38.22,-3.9234e-07
38.23,-2.4227e-07
38.24,-1.39548e-07
38.25,-8.9278e-08
38.26,-1.62733e-07
38.27,-1.59023e-07
38.28,1.1557e-08
38.29,1.73804e-07
38.3,3.0716e-07
38.31,3.4795e-07
38.32,3.63536e-07
38.33,3.79427e-07
38.34,5.16917e-07
38.35,5.82078e-07
38.36,5.84768e-07
38.37,5.33824e-07
38.38,4.80232e-07
38.39,4.24932e-07
38.4,4.83931e-07
38.41,5.1951e-07
38.42,4.4601e-07
38.43,3.7251e-07
38.44,3.10759e-07
38.45,3.10259e-07
38.46,2.83216e-07
38.47,2.36049e-07
38.48,1.25539e-07
38.49,5.2878e-08
38.5,2.2268e-08
38.51,-8.342e-09
38.52,-4.9867e-08
38.53,-1.11687e-07
38.54,-3.9178e-08
38.55,7.2509e-08
38.56,1.92889e-07
38.57,2.19797e-07
38.58,2.16153e-07
38.59,3.70143e-07
38.6,5.30199e-07
38.61,6.95499e-07
38.62,6.9054e-07
38.63,7.1821e-07
38.64,7.9911e-07
38.65,8.57682e-07
38.66,8.57497e-07
38.67,7.20707e-07
38.68,5.00592e-07
38.69,2.59477e-07
38.7,7.5267e-08
38.71,-1.71163e-07
38.72,-4.57659e-07
38.73,-6.98099e-07
38.74,-9.30343e-07
38.75,-1.15349e-06
38.76,-1.28191e-06
38.77,-1.42333e-06
38.78,-1.6062e-06
38.79,-1.68367e-06
38.8,-1.69972e-06
38.81,-1.60139e-06
38.82,-1.34053e-06
38.83,-9.99022e-07
38.84,-6.80862e-07
38.85,-2.72152e-07
38.86,2.14728e-07
38.87,6.53e-07
38.88,9.72337e-07
38.89,1.12295e-06
38.9,1.04387e-06
38.91,8.71219e-07
38.92,5.67319e-07
38.93,2.30403e-07
38.94,-1.19988e-07
38.95,-4.74918e-07
38.96,-7.81206e-07
38.97,-1.05396e-06
38.98,-1.30032e-06
38.99,-1.49841e-06
39,-1.64278e-06
39.01,-1.58901e-06
39.02,-1.46195e-06
39.03,-1.23351e-06
39.04,-8.73998e-07
39.05,-4.78832e-07
39.06,-8.3652e-08
39.07,2.14324e-07
39.08,4.27622e-07
39.09,3.23312e-07
39.1,1.62733e-07
39.11,-4.6387e-08
39.12,-2.64857e-07
39.13,-4.73478e-07
39.14,-6.67618e-07
39.15,-6.23509e-07
39.16,-5.37049e-07
39.17,-4.50589e-07
39.18,-3.90609e-07
39.19,-3.18046e-07
39.2,-1.27276e-07
39.21,-3.0931e-08
39.22,-8.84e-10
39.23,-5.3604e-08
39.24,-1.06324e-07
39.25,-1.59044e-07
39.26,-1.91718e-07
39.27,-2.22437e-07
39.28,-2.53157e-07
39.29,-2.96382e-07
39.3,-3.44165e-07
39.31,-3.95995e-07
39.32,-4.3243e-07
39.33,-4.58633e-07
39.34,-4.63363e-07
39.35,-4.68039e-07
39.36,-4.72669e-07
39.37,-4.17528e-07
39.38,-3.5653e-07
39.39,-2.8946e-07
39.4,-2.0932e-07
39.41,-1.29454e-07
39.42,-5.6084e-08
39.43,4.621e-09
39.44,5.3815e-08
39.45,6.8295e-08
39.46,1.00669e-07
39.47,1.45996e-07
39.48,2.16376e-07
39.49,2.45294e-07
39.5,2.28184e-07
39.51,2.69462e-07
39.52,3.12782e-07
39.53,3.49272e-07
39.54,3.56114e-07
39.55,3.48306e-07
39.56,3.17606e-07
39.57,2.86899e-07
39.58,2.46435e-07
39.59,1.16725e-07
39.6,-1.1434e-08
39.61,-1.38254e-07
39.62,-3.98169e-07
39.63,-6.45737e-07
39.64,-8.70477e-07
39.65,-8.92739e-07
39.66,-8.59387e-07
39.67,-7.77237e-07
39.68,-6.71444e-07
39.69,-5.38499e-07
39.7,-3.11129e-07
39.71,-1.58795e-07
39.72,-5.8188e-08
39.73,3.392e-09
39.74,9.2342e-08
39.75,2.11722e-07
39.76,2.75917e-07
39.77,3.29104e-07
39.78,3.71794e-07
39.79,4.4151e-07
39.8,5.10919e-07
39.81,5.53609e-07
39.82,6.1893e-07
39.83,6.93907e-07
39.84,7.51407e-07
39.85,7.80514e-07
39.86,7.85114e-07
39.87,7.57889e-07
39.88,7.40625e-07
39.89,7.38935e-07
39.9,7.07237e-07
39.91,6.83619e-07
39.92,6.93719e-07
39.93,7.03819e-07
39.94,7.05586e-07
39.95,6.63896e-07
39.96,5.90985e-07
39.97,4.98429e-07
39.98,4.38729e-07
39.99,3.60605e-07
40,2.61995e-07
40.01,1.9967e-07
40.02,1.49326e-07
40.03,1.14716e-07
40.04,1.03373e-07
40.05,9.7424e-08
40.06,8.8214e-08
40.07,9.2342e-08
40.08,1.03322e-07
40.09,1.14302e-07
40.1,1.24533e-07
40.11,1.34113e-07
40.12,1.86911e-07
40.13,2.37317e-07
40.14,2.82607e-07
40.15,2.50658e-07
40.16,1.96754e-07
40.17,1.22644e-07
40.18,2.483e-09
40.19,-1.35236e-07
40.2,-2.72956e-07
40.21,-3.69561e-07
40.22,-4.38591e-07
40.23,-5.07621e-07
40.24,-5.01363e-07
40.25,-4.11503e-07
40.26,-1.95775e-07
40.27,-1.1572e-08
40.28,9.1008e-08
40.29,9.866e-08
40.3,1.19963e-07
40.31,2.79153e-07
40.32,4.12336e-07
40.33,5.25183e-07
40.34,5.74783e-07
40.35,6.3445e-07
40.36,7.0285e-07
40.37,7.68232e-07
40.38,8.08566e-07
40.39,8.13166e-07
40.4,7.80163e-07
40.41,7.45856e-07
40.42,7.24966e-07
40.43,7.15085e-07
40.44,7.201e-07
40.45,7.81e-07
40.46,8.33105e-07
40.47,8.79305e-07
40.48,9.25515e-07
40.49,9.27607e-07
40.5,8.80517e-07
40.51,8.33428e-07
40.52,7.87141e-07
40.53,7.42351e-07
40.54,6.7697e-07
40.55,6.34878e-07
40.56,6.93578e-07
40.57,8.10531e-07
40.58,9.46894e-07
40.59,9.87404e-07
40.6,9.51255e-07
40.61,8.48965e-07
40.62,7.46675e-07
40.63,5.87789e-07
40.64,3.47889e-07
40.65,4.8212e-08
40.66,-2.62111e-07
40.67,-5.72441e-07
40.68,-8.54676e-07
40.69,-1.10615e-06
40.7,-1.25282e-06
40.71,-1.27763e-06
40.72,-1.21796e-06
40.73,-1.08632e-06
40.74,-9.40903e-07
40.75,-7.80253e-07
40.76,-6.19593e-07
40.77,-4.70369e-07
40.78,-3.42599e-07
40.79,-2.23093e-07
40.8,-1.05217e-07
40.81,1.4763e-08
40.82,1.63278e-07
40.83,3.26369e-07
40.84,4.89459e-07
40.85,6.99259e-07
40.86,9.49369e-07
40.87,1.17945e-06
40.88,1.41916e-06
40.89,1.67349e-06
40.9,1.73829e-06
40.91,1.77058e-06
40.92,1.80601e-06
40.93,1.81713e-06
40.94,1.83975e-06
40.95,1.97059e-06
40.96,2.00341e-06
40.97,1.97056e-06
40.98,1.93771e-06
40.99,1.91034e-06
41,1.88909e-06
41.01,1.86784e-06
41.02,1.84095e-06
41.03,1.80349e-06
41.04,1.77459e-06
41.05,1.75131e-06
41.06,1.73945e-06
41.07,1.68945e-06
41.08,1.61989e-06
41.09,1.55032e-06
