time,Master1Paths4.FTASlave_1.PTP_Stack[0].offsetFromMaster:vector
26.188382976,7.69533
26.313388097,7.69533
26.438385834,7.69533
26.563397672,7.69533
26.688391731,7.69533
26.813394698,7.69533
26.938395188,0
27.063392251,0
27.188389646,0
27.313380906,0
27.438402989,0.342016
27.563390948,0.342015
27.688388285,0.228011
27.813404501,0.114007
27.938395904,3.285e-06
28.0634029,2.083e-06
28.188392392,9.3e-07
28.313393142,9.3e-07
28.438395638,2.61e-07
28.563393694,-9.7e-08
28.68839589,7.5e-07
28.813404136,7.19e-07
28.938404277,5.89e-07
29.063391885,5.17e-07
29.188400112,5.52e-07
29.313405923,-9.6e-08
29.438394576,4.83e-07
29.563399191,4.8e-07
29.688399925,4.8e-07
29.813387824,2.49e-07
29.938384651,1.587e-06
30.063393071,3.51e-07
30.188391793,7.89e-07
30.313397606,7.89e-07
30.438390557,2.599e-06
30.563392846,2.282e-06
30.688387204,2.282e-06
30.813383338,1.96e-06
30.938392412,1.324e-06
31.063396698,-1.92e-07
31.188390991,-5.04e-07
31.313389565,-7.38e-07
31.438397205,-8.56e-07
31.563399746,2.37e-07
31.68839455,4.21e-07
31.813397984,5.58e-07
31.938384911,1.475e-06
32.063404447,1.475e-06
32.188395027,1.396e-06
32.313405098,1.287e-06
32.438399046,5.25e-07
32.563386951,5.25e-07
32.688387551,1.445e-06
32.813392396,2.74e-06
32.938393857,2.74e-06
33.063389115,2.628e-06
33.188379383,-4.39e-07
33.313397734,-1.453e-06
33.438392728,-1.453e-06
33.563394366,-1.356e-06
33.688395483,6.51e-07
33.813396725,1.019e-06
33.938390214,1.618e-06
34.063395345,1.618e-06
34.188395486,1.173e-06
34.3133839,1.096e-06
34.438383703,1.102e-06
34.563394819,9.1e-07
34.688391388,6.32e-07
34.813402132,2.45e-07
34.938390917,-1.4e-07
35.063398068,-1.4e-07
35.18840244,-1.01e-07
35.313389813,-5.6e-08
35.438393288,-4e-09
35.563394892,-4e-09
35.688384017,2e-08
35.813402828,1.63e-07
35.938398046,1.48e-07
36.063385753,2.8e-07
36.188399035,2.8e-07
36.313381317,4.22e-07
36.438392039,-3.3e-08
36.563395269,-2.5e-08
36.688399106,-7.7e-08
36.813398837,3.89e-07
36.938394717,2.39e-07
37.063399154,3.99e-07
37.188393972,4.36e-07
37.313394278,6.4e-07
37.438387112,4.91e-07
37.563399568,5.17e-07
37.688389334,5.11e-07
37.813398432,4.73e-07
37.938402256,4.73e-07
38.063400413,3.41e-07
38.188398364,2.03e-07
38.313393898,1.72e-07
38.438387532,1.72e-07
38.563393317,-1.89e-07
38.68840744,-7.45e-07
38.813392825,-6.86e-07
38.93838547,5.93e-07
39.06338905,1.125e-06
39.188393764,2.004e-06
39.313400294,2.457e-06
39.43838545,1.522e-06
39.563399539,1.522e-06
39.688393319,1.522e-06
39.813392352,1.548e-06
39.938382396,1.256e-06
40.063396785,8.02e-07
40.188404315,-4.67e-07
40.313388127,1.209e-06
40.438401031,-5.43e-07
40.563403494,-4.22e-07
40.688400669,3.79e-07
40.813392107,1.119e-06
40.938382648,3.79e-07
41.063391901,-1.09e-07
41.188384409,-2.52e-07
41.313383319,3.96e-07
41.438384879,-1.49e-07
41.563384005,-9.86e-07
41.688384085,4.68e-07
41.813397887,6.73e-07
41.938396469,-8.47e-07
42.063395279,-8.47e-07
42.188383551,1.207e-06
42.313386128,1.347e-06
42.438380818,1.513e-06
42.563395163,1.513e-06
42.688397394,1.97e-06
42.813404732,8.36e-07
42.938402729,5.79e-07
43.063384942,2.55e-07
43.188395599,2.55e-07
43.313394134,9.5e-08
43.438399386,9.5e-08
43.563389002,5.08e-07
43.688394924,4.52e-07
43.813394555,3.6e-07
43.938388526,1.198e-06
44.063391899,1.038e-06
44.188402068,1.291e-06
44.313398496,1.329e-06
44.438392702,1.535e-06
44.563403705,7.38e-07
44.688399471,2.1e-08
44.813381969,-1.06e-07
44.938395805,-7.83e-07
45.063393436,-7.83e-07
45.188393441,-7.33e-07
45.313376584,1.19e-07
45.438388083,2.27e-07
45.56339127,8.56e-07
45.688392185,8.56e-07
45.813397112,-5e-07
45.938400275,-4.8e-07
46.063399137,-5.31e-07
46.188399969,-5.31e-07
46.31338742,1.23e-07
46.438384979,1.23e-07
46.56338866,1.152e-06
46.688387807,1.027e-06
46.81338964,-1.84e-07
46.938397462,-1.76e-07
47.063387849,-9.9e-08
47.188384106,-9.9e-08
47.313398911,-3e-08
47.43839868,3.43e-07
47.563394901,3.43e-07
47.688381554,3.62e-07
47.813377503,3.62e-07
47.93839023,3.45e-07
48.06339048,2e-08
48.188391219,2.5e-08
48.313402508,-1.5e-08
48.438389427,-2.3e-08
48.563400789,-1.03e-07
48.688400466,-1.03e-07
48.813391187,-3.22e-07
48.938382254,-9.7e-08
49.063394635,-7e-08
49.188394063,3.4e-08
49.31339151,5.8e-08
49.438399237,1.43e-07
49.563391367,2.47e-07
49.688389617,2.36e-07
49.813403308,2.84e-07
49.93839438,2e-07
50.063408137,8e-08
50.18838203,1.5e-08
50.313388273,8e-08
50.438388156,1.5e-08
50.563401586,-5e-09
50.688387724,1.228e-06
50.813390902,1.234e-06
50.938386608,3e-09
51.063391199,5.36e-07
51.188385016,5.36e-07
51.313385957,1e-08
51.438387384,-1e-08
51.56339689,-2.1e-08
51.68840785,-3.3e-08
51.813390862,-8.18e-07
51.93838463,-1.441e-06
52.063398153,-6.55e-07
52.188394143,-3.56e-07
52.31338945,-3.35e-07
52.438390216,3.16e-07
52.563403975,3.16e-07
52.688391283,2.2e-08
52.813377259,2.2e-08
52.938385302,5.6e-08
53.063390916,4.9e-08
53.1883966,4.9e-08
53.313382944,-9e-09
53.438391051,-5.03e-07
53.563390588,-5.27e-07
53.688387012,-1.711e-06
53.813400202,-5.27e-07
53.938394898,-4.89e-07
54.063400795,-1.4e-08
54.188390029,5.3e-08
54.313386576,7.67e-07
54.438390714,2.305e-06
54.563381077,2.305e-06
54.688388442,2.117e-06
54.813391269,2.114e-06
54.938388301,3.65e-07
55.063388123,-7.08e-07
55.188386884,-2.96e-07
55.313401069,-7.49e-07
55.438396114,-1.064e-06
55.563394424,-2.47e-07
55.68838201,-5.36e-07
55.813384749,-8.5e-07
55.938393261,-5.33e-07
56.063403347,-4.18e-07
56.188376564,-4.18e-07
56.313381957,6.59e-07
56.438378978,7.93e-07
56.563391397,7.93e-07
56.688390933,6.6e-07
56.813390971,-6.2e-08
56.938390416,-6.2e-08
57.063384152,-4.9e-08
57.188385015,-2.1e-08
57.313401768,-2.1e-08
57.438399541,1.06e-07
57.563392296,1.06e-07
57.688390501,1.98e-07
57.813393706,3.9e-07
57.938385715,3.9e-07
58.063392919,3.25e-07
58.188391563,2.94e-07
58.313397703,1.73e-07
58.438400301,4.7e-08
58.563394484,-4e-07
58.688397043,1.03e-07
58.813384227,-1.51e-07
58.938385632,1.15e-07
59.063399435,-3.19e-07
59.18839017,5.35e-07
59.313395076,2.399e-06
59.438395782,3.151e-06
59.563394797,1.22e-06
59.688376158,1.244e-06
59.813385739,1.65e-06
59.938396427,1.65e-06
68.057600368,0
