time,Nodes1Paths2.timeDiffObserver_Std.ScaledTimeDiff:vector
7.02,-1.43397e-07
7.03,-1.56811e-07
7.04,-1.69001e-07
7.05,-1.57549e-07
7.06,-1.31806e-07
7.07,-1.10306e-07
7.08,-3.06357e-07
7.09,-7.23867e-07
7.1,-7.02619e-07
7.11,-6.59436e-07
7.12,-6.33056e-07
7.13,-7.01975e-07
7.14,-7.51613e-07
7.15,-6.71833e-07
7.16,-5.52846e-07
7.17,-4.43842e-07
7.18,-5.42852e-07
7.19,-5.46826e-07
7.2,-4.75436e-07
7.21,-6.60395e-07
7.22,-7.4472e-07
7.23,-6.9494e-07
7.24,-6.24917e-07
7.25,-5.40067e-07
7.26,-4.28677e-07
7.27,-3.30169e-07
7.28,-2.38743e-07
7.29,-1.59343e-07
7.3,-1.09889e-07
7.31,-8.5802e-08
7.32,-1.76002e-07
7.33,-3.09154e-07
7.34,-4.86064e-07
7.35,-2.83224e-07
7.36,-2.25543e-07
7.37,-4.62353e-07
7.38,-6.66879e-07
7.39,-8.59856e-07
7.4,-1.04098e-06
7.41,-1.13856e-06
7.42,-1.21826e-06
7.43,-1.4535e-06
7.44,-1.55728e-06
7.45,-1.55683e-06
7.46,-1.70052e-06
7.47,-1.87048e-06
7.48,-2.07405e-06
7.49,-1.9113e-06
7.5,-1.71385e-06
7.51,-1.5613e-06
7.52,-1.62414e-06
7.53,-1.70765e-06
7.54,-1.5514e-06
7.55,-1.42413e-06
7.56,-1.33782e-06
7.57,-1.63297e-06
7.58,-1.93779e-06
7.59,-2.25245e-06
7.6,-1.983e-06
7.61,-1.6781e-06
7.62,-1.38454e-06
7.63,-9.26156e-07
7.64,-3.70367e-07
7.65,3.64853e-07
7.66,5.4822e-07
7.67,4.56019e-07
7.68,2.33029e-07
7.69,1.57578e-07
7.7,1.99288e-07
7.71,-2.3328e-08
7.72,-2.01936e-07
7.73,-3.20936e-07
7.74,-3.1128e-08
7.75,1.7509e-07
7.76,5.55e-08
7.77,1.8137e-08
7.78,1.6695e-08
7.79,5.0395e-08
7.8,3.69041e-07
7.81,8.30162e-07
7.82,7.57492e-07
7.83,6.43147e-07
7.84,4.86177e-07
7.85,4.44645e-07
7.86,4.18726e-07
7.87,4.05046e-07
7.88,4.75739e-07
7.89,4.87129e-07
7.9,2.53849e-07
7.91,1.90427e-07
7.92,1.91719e-07
7.93,8.9829e-08
7.94,2.0552e-08
7.95,-2.2838e-08
7.96,-1.24221e-07
7.97,-1.7015e-07
7.98,-1.4285e-07
7.99,-4.03295e-07
8,-5.98547e-07
8.01,-5.49767e-07
8.02,-3.29559e-07
8.03,-9.6138e-08
8.04,-6.5938e-08
8.05,-3.6109e-08
8.06,1.6427e-08
8.07,4.47247e-07
8.08,3.29563e-07
8.09,-3.48537e-07
8.1,-3.16911e-07
8.11,-2.15881e-07
8.12,-8.3581e-08
8.13,-2.6548e-07
8.14,-4.66342e-07
8.15,-4.95452e-07
8.16,-3.74311e-07
8.17,-2.16521e-07
8.18,-3.04921e-07
8.19,-3.82944e-07
8.2,-4.52744e-07
8.21,-5.24943e-07
8.22,-5.74974e-07
8.23,-5.95884e-07
8.24,-3.70612e-07
8.25,-2.03686e-07
8.26,-2.51586e-07
8.27,-2.94047e-07
8.28,-3.19896e-07
8.29,-2.80006e-07
