time,Nodes1Paths2.timeDiffObserver_Voted.ScaledTimeDiff:vector
4.93,1.27224e-07
4.94,1.22794e-07
4.95,1.23693e-07
4.96,1.3031e-07
4.97,1.36845e-07
4.98,1.43085e-07
4.99,1.44368e-07
5,1.44872e-07
5.01,1.43955e-07
5.02,1.44299e-07
5.03,1.46547e-07
5.04,1.44178e-07
5.05,1.39456e-07
5.06,1.31807e-07
5.07,1.30236e-07
5.08,1.31889e-07
5.09,1.33629e-07
5.1,1.37692e-07
5.11,1.41278e-07
5.12,1.46287e-07
5.13,1.47371e-07
5.14,1.47268e-07
5.15,1.46619e-07
5.16,1.43646e-07
5.17,1.34697e-07
5.18,1.32472e-07
5.19,1.34844e-07
5.2,1.39461e-07
5.21,1.43044e-07
5.22,1.44019e-07
5.23,1.41969e-07
5.24,1.40182e-07
5.25,1.38508e-07
5.26,1.40776e-07
5.27,1.42599e-07
5.28,1.45039e-07
5.29,1.5128e-07
5.3,1.54053e-07
5.31,1.55294e-07
5.32,1.53107e-07
5.33,1.47435e-07
5.34,1.43085e-07
5.35,1.39673e-07
5.36,1.36643e-07
5.37,1.35273e-07
5.38,1.34051e-07
5.39,1.32201e-07
5.4,1.31455e-07
5.41,1.31362e-07
5.42,1.32402e-07
5.43,1.36914e-07
5.44,1.38718e-07
5.45,1.37979e-07
5.46,1.40389e-07
5.47,1.44706e-07
5.48,1.48346e-07
5.49,1.48168e-07
5.5,1.47084e-07
5.51,1.45435e-07
5.52,1.44597e-07
5.53,1.45236e-07
5.54,1.4248e-07
5.55,1.37889e-07
5.56,1.3384e-07
5.57,1.31836e-07
5.58,1.32182e-07
5.59,1.34022e-07
5.6,1.3816e-07
5.61,1.41035e-07
5.62,1.41876e-07
5.63,1.39539e-07
5.64,1.38374e-07
5.65,1.36352e-07
5.66,1.35515e-07
5.67,1.39357e-07
5.68,1.42762e-07
5.69,1.45149e-07
5.7,1.43354e-07
5.71,1.45596e-07
5.72,1.45657e-07
5.73,1.43507e-07
5.74,1.46483e-07
5.75,1.50447e-07
5.76,1.47698e-07
5.77,1.49473e-07
5.78,1.51868e-07
5.79,1.54701e-07
5.8,1.57196e-07
5.81,1.57529e-07
5.82,1.52817e-07
5.83,1.4915e-07
5.84,1.5479e-07
5.85,1.55179e-07
5.86,1.5103e-07
5.87,1.46685e-07
5.88,1.47042e-07
5.89,1.49843e-07
5.9,1.56584e-07
5.91,1.57576e-07
5.92,1.52626e-07
5.93,1.55261e-07
5.94,1.55562e-07
5.95,1.51412e-07
5.96,1.47563e-07
5.97,1.44213e-07
5.98,1.41163e-07
5.99,1.38675e-07
6,1.38005e-07
6.01,1.36446e-07
6.02,1.34556e-07
6.03,1.33163e-07
6.04,1.37404e-07
6.05,1.37818e-07
6.06,1.363e-07
6.07,1.34673e-07
6.08,1.33658e-07
6.09,1.32808e-07
6.1,1.3272e-07
6.11,1.32727e-07
6.12,1.33545e-07
6.13,1.34258e-07
6.14,1.34899e-07
6.15,1.30629e-07
6.16,1.26912e-07
6.17,1.26762e-07
6.18,1.23577e-07
6.19,1.22404e-07
6.2,1.28445e-07
6.21,1.27324e-07
6.22,1.26895e-07
6.23,1.26645e-07
6.24,1.29977e-07
6.25,1.35689e-07
6.26,1.3953e-07
6.27,1.45689e-07
6.28,1.5543e-07
6.29,1.59663e-07
6.3,1.58354e-07
6.31,1.54669e-07
6.32,1.50719e-07
6.33,1.52775e-07
6.34,1.60215e-07
6.35,1.58386e-07
6.36,1.56265e-07
6.37,1.5855e-07
6.38,1.56636e-07
6.39,1.54333e-07
6.4,1.5226e-07
6.41,1.50595e-07
6.42,1.50272e-07
6.43,1.52713e-07
6.44,1.4919e-07
6.45,1.41698e-07
6.46,1.40009e-07
6.47,1.38815e-07
6.48,1.38265e-07
6.49,1.40302e-07
6.5,1.40048e-07
6.51,1.39298e-07
6.52,1.41002e-07
6.53,1.46143e-07
6.54,1.50811e-07
6.55,1.50382e-07
6.56,1.47253e-07
6.57,1.44934e-07
6.58,1.46482e-07
6.59,1.50922e-07
6.6,1.49087e-07
6.61,1.47967e-07
6.62,1.47918e-07
6.63,1.49684e-07
6.64,1.54604e-07
6.65,1.58295e-07
6.66,1.62109e-07
6.67,1.65754e-07
6.68,1.68095e-07
6.69,1.66102e-07
6.7,1.56915e-07
6.71,1.50126e-07
6.72,1.48003e-07
6.73,1.48843e-07
6.74,1.52709e-07
6.75,1.52706e-07
6.76,1.52781e-07
6.77,1.51484e-07
6.78,1.47209e-07
6.79,1.47458e-07
6.8,1.47616e-07
6.81,1.4724e-07
6.82,1.44673e-07
6.83,1.4037e-07
6.84,1.3282e-07
6.85,1.35326e-07
6.86,1.38523e-07
6.87,1.38171e-07
6.88,1.40592e-07
6.89,1.42577e-07
6.9,1.42452e-07
6.91,1.42886e-07
6.92,1.43736e-07
6.93,1.41086e-07
6.94,1.38562e-07
6.95,1.36226e-07
6.96,1.40484e-07
6.97,1.4461e-07
6.98,1.4426e-07
6.99,1.51035e-07
7,1.56609e-07
7.01,1.58349e-07
7.02,1.58643e-07
7.03,1.58226e-07
7.04,1.57105e-07
7.05,1.54549e-07
7.06,1.51246e-07
7.07,1.49789e-07
7.08,1.5062e-07
7.09,1.5057e-07
7.1,1.50625e-07
7.11,1.50575e-07
7.12,1.50526e-07
7.13,1.52272e-07
7.14,1.57113e-07
7.15,1.5721e-07
7.16,1.56491e-07
7.17,1.55842e-07
7.18,1.54034e-07
7.19,1.51834e-07
7.2,1.50244e-07
7.21,1.54284e-07
7.22,1.56494e-07
7.23,1.56444e-07
7.24,1.49353e-07
7.25,1.43182e-07
7.26,1.42154e-07
7.27,1.37906e-07
7.28,1.35172e-07
7.29,1.34562e-07
7.3,1.35458e-07
7.31,1.37454e-07
7.32,1.38035e-07
7.33,1.41136e-07
7.34,1.45276e-07
7.35,1.43681e-07
7.36,1.42075e-07
7.37,1.41225e-07
7.38,1.42333e-07
7.39,1.48111e-07
7.4,1.57552e-07
7.41,1.62806e-07
7.42,1.65466e-07
7.43,1.62916e-07
7.44,1.60142e-07
7.45,1.58063e-07
7.46,1.60723e-07
7.47,1.63813e-07
7.48,1.67353e-07
